Rowid,Country,State lgd code,State,District lgd code,District,Year,Type of residence namely rural or urban,Number of census houses,Houses having grass or thatch or bamboo etc. as material of wall,Houses having plastic or polythene as material of wall,Houses having mud or unburnt brick as material of wall,Houses having wood as material of wall,Houses having stone not packed with mortar as material of wall,Houses having stone packed with mortar as material of wall,Houses having galvanized iron (gi) sheets or metal or asbestos sheets as material of wall,Houses having burnt brick as material of wall,Houses having concrete as material of wall,Houses having any other material of wall
1,India,1,Jammu And Kashmir,1,Anantnag,2011,Rural,109465,270,1331,22710,3014,3034,480,229,76229,1400,768
2,India,1,Jammu And Kashmir,1,Anantnag,2011,Urban,33522,69,121,6807,123,268,93,98,23789,1894,260
3,India,1,Jammu And Kashmir,2,Budgam,2011,Rural,85561.57321,134.1822704,168.9702664,7174.278724,960.1486904,748.438886,306.1343651,214.6916326,73342.04111,1013.821599,1498.865657
4,India,1,Jammu And Kashmir,2,Budgam,2011,Urban,13136,49,27,935,24,187,30,39,11297,454,94
5,India,1,Jammu And Kashmir,3,Baramulla,2011,Rural,120312.4268,410.8177296,173.0297336,19207.72128,3227.85131,12552.56111,5479.865635,1740.308367,72686.95889,2118.178401,2715.134343
6,India,1,Jammu And Kashmir,3,Baramulla,2011,Urban,26199,64,72,3859,263,1240,691,227,18706,508,569
7,India,1,Jammu And Kashmir,4,Doda,2011,Rural,72580,245,31,3170,459,40025,18884,18,9103,581,64
8,India,1,Jammu And Kashmir,4,Doda,2011,Urban,6040,39,1,428,4,198,350,28,4781,182,29
9,India,1,Jammu And Kashmir,5,Jammu,2011,Rural,155851,2731,130,15695,370,2966,5831,23,124676,2567,862
10,India,1,Jammu And Kashmir,5,Jammu,2011,Urban,146165,1032,595,4322,727,912,812,409,128620,8095,641
11,India,1,Jammu And Kashmir,7,Kathua,2011,Rural,100283,1036,42,20142,62,14713,9202,13,54414,449,210
12,India,1,Jammu And Kashmir,7,Kathua,2011,Urban,17553,96,0,904,6,83,85,0,16197,158,24
13,India,1,Jammu And Kashmir,8,Kupwara,2011,Rural,96737,500,355,10766,30081,7089,2107,266,43244,1381,948
14,India,1,Jammu And Kashmir,8,Kupwara,2011,Urban,10040,40,20,1407,481,1323,457,23,6086,83,120
15,India,1,Jammu And Kashmir,10,Poonch,2011,Rural,81670,98,20,2231,198,54386,19242,7,4647,745,96
16,India,1,Jammu And Kashmir,10,Poonch,2011,Urban,7208,15,4,397,17,981,626,4,5098,21,45
17,India,1,Jammu And Kashmir,11,Pulwama,2011,Rural,71063,118,357,17166,342,649,169,274,49250,1940,798
18,India,1,Jammu And Kashmir,11,Pulwama,2011,Urban,10178,55,27,1699,27,372,17,48,7479,307,147
19,India,1,Jammu And Kashmir,12,Rajouri,2011,Rural,117183,408,15,2298,413,60533,29543,35,21851,1855,232
20,India,1,Jammu And Kashmir,12,Rajouri,2011,Urban,6817,33,7,64,6,207,373,2,5943,172,10
21,India,1,Jammu And Kashmir,13,Srinagar,2011,Rural,2690,9,3,340,27,194,39,10,2034,12,22
22,India,1,Jammu And Kashmir,13,Srinagar,2011,Urban,164758,315,410,10455,3013,2358,906,1086,134271,9769,2175
23,India,1,Jammu And Kashmir,14,Udhampur,2011,Rural,77759.24694,395.9200666,47.49269466,19685.85611,252.2956168,16860.3804,25688.48752,23.08622156,14334.27631,317.0970964,154.3549103
24,India,1,Jammu And Kashmir,14,Udhampur,2011,Urban,16458,61,6,1016,6,290,724,2,14000,313,40
25,India,1,Jammu And Kashmir,620,Kishtwar,2011,Rural,41968,101,21,1092,5921,16841,13202,2,4575,162,51
26,India,1,Jammu And Kashmir,620,Kishtwar,2011,Urban,2549,19,2,137,5,136,42,0,2191,3,14
27,India,1,Jammu And Kashmir,621,Ramban,2011,Rural,52261,156,30,4466,104,32751,11667,32,2729,211,115
28,India,1,Jammu And Kashmir,621,Ramban,2011,Urban,1945,14,0,165,16,198,486,0,1054,9,3
29,India,1,Jammu And Kashmir,622,Kulgam,2011,Rural,56316,120,151,20212,708,556,166,50,32454,1276,623
30,India,1,Jammu And Kashmir,622,Kulgam,2011,Urban,12887,32,28,3352,81,78,52,46,8071,997,150
31,India,1,Jammu And Kashmir,623,Bandipora,2011,Rural,47620,297,164,10477,5263,2017,791,492,27118,598,403
32,India,1,Jammu And Kashmir,623,Bandipora,2011,Urban,9174,23,26,1512,71,340,87,144,6730,114,127
33,India,1,Jammu And Kashmir,624,Samba,2011,Rural,52541.75306,635.0799334,39.50730534,4158.143888,23.70438321,511.6196042,1081.512484,6.913778435,45487.72369,488.9029036,108.6450897
34,India,1,Jammu And Kashmir,624,Samba,2011,Urban,9620,36,14,219,6,42,15,11,9210,30,37
35,India,1,Jammu And Kashmir,625,Shopian,2011,Rural,39486,211,70,9268,1183,569,50,63,26132,1268,672
36,India,1,Jammu And Kashmir,625,Shopian,2011,Urban,2461,2,0,466,10,13,2,2,1867,92,7
37,India,1,Jammu And Kashmir,626,Ganderbal,2011,Rural,36626,159,1299,5913,1049,4852,1262,254,20465,530,843
38,India,1,Jammu And Kashmir,626,Ganderbal,2011,Urban,6623,9,93,468,81,45,22,68,5173,501,163
39,India,1,Jammu And Kashmir,627,Reasi,2011,Rural,49914,177,138,8923,39,21730,10840,38,7509,452,68
40,India,1,Jammu And Kashmir,627,Reasi,2011,Urban,4878,6,63,316,1,103,61,5,4108,197,18
41,India,2,Himachal Pradesh,15,Bilaspur,2011,Rural,74661,172,45,11414,124,4117,22797,127,35392,413,60
42,India,2,Himachal Pradesh,15,Bilaspur,2011,Urban,5792,14,6,195,9,55,408,6,4852,241,6
43,India,2,Himachal Pradesh,16,Chamba,2011,Rural,94574,151,57,7094,1006,22821,50028,208,12906,253,50
44,India,2,Himachal Pradesh,16,Chamba,2011,Urban,7398,3,2,174,93,409,1869,42,4779,16,11
45,India,2,Himachal Pradesh,17,Hamirpur,2011,Rural,97893,298,223,38137,123,1678,5480,96,51245,550,63
46,India,2,Himachal Pradesh,17,Hamirpur,2011,Urban,7175,35,49,990,8,104,202,6,5763,15,3
47,India,2,Himachal Pradesh,18,Kangra,2011,Rural,316419,783,556,132657,629,4763,12409,235,163254,995,138
48,India,2,Himachal Pradesh,18,Kangra,2011,Urban,19988,70,195,2472,110,427,1086,79,15395,147,7
49,India,2,Himachal Pradesh,19,Kinnaur,2011,Rural,19535,130,66,479,1675,3038,10291,592,2148,1083,33
50,India,2,Himachal Pradesh,19,Kinnaur,2011,Urban,zero,zero,zero,0,0,0,0,0,0,0,0
51,India,2,Himachal Pradesh,20,Kullu,2011,Rural,84501,73,199,2300,3586,19613,44863,669,11384,1582,232
52,India,2,Himachal Pradesh,20,Kullu,2011,Urban,11044,23,100,376,364,517,1693,86,7270,612,3
53,India,2,Himachal Pradesh,21,Lahul And Spiti,2011,Rural,6695,11,63,2368,10,1666,2272,25,237,41,2
54,India,2,Himachal Pradesh,21,Lahul And Spiti,2011,Urban,zero,zero,zero,0,0,0,0,0,0,0,0
55,India,2,Himachal Pradesh,22,Mandi,2011,Rural,204051,251,113,21183,1448,38986,96087,374,43190,2237,182
56,India,2,Himachal Pradesh,22,Mandi,2011,Urban,15943,15,98,929,41,522,1833,38,12254,197,16
57,India,2,Himachal Pradesh,23,Shimla,2011,Rural,130864,560,197,9912,7187,14876,70490,344,25222,1976,100
58,India,2,Himachal Pradesh,23,Shimla,2011,Urban,49906,82,75,1472,401,874,3314,537,42575,426,150
59,India,2,Himachal Pradesh,24,Sirmaur,2011,Rural,84317,696,86,4198,840,10045,36005,92,31491,765,99
60,India,2,Himachal Pradesh,24,Sirmaur,2011,Urban,12773,12,33,844,9,341,623,14,10555,300,42
61,India,2,Himachal Pradesh,25,Solan,2011,Rural,97237,931,240,11360,172,3479,16619,326,62302,1686,122
62,India,2,Himachal Pradesh,25,Solan,2011,Urban,26116,278,213,696,140,216,849,47,23406,242,29
63,India,2,Himachal Pradesh,26,Una,2011,Rural,99791,1414,114,16404,69,1017,3462,32,76559,625,95
64,India,2,Himachal Pradesh,26,Una,2011,Urban,9908,329,71,264,0,46,65,4,8753,371,5
65,India,3,Punjab,27,Amritsar,2011,Rural,212566,2409,285,14008,193,2738,2264,86,175465,14195,923
66,India,3,Punjab,27,Amritsar,2011,Urban,267737,1342,451,5698,216,2114,1484,169,234348,21547,368
67,India,3,Punjab,28,Bathinda,2011,Rural,170853,1085,265,8696,142,1611,1092,413,152662,4466,421
68,India,3,Punjab,28,Bathinda,2011,Urban,95182,555,167,2836,52,769,1002,27,84573,4991,210
69,India,3,Punjab,29,Faridkot,2011,Rural,76262,572,114,4130,33,445,322,8,69316,944,378
70,India,3,Punjab,29,Faridkot,2011,Urban,41931,232,75,1172,17,282,232,5,38682,1141,93
71,India,3,Punjab,30,Fatehgarh Sahib,2011,Rural,77587.62885,241.6997861,49.93797233,2284.162854,24.96898616,568.2941251,534.3363039,15.98015114,70399.55711,3376.805689,91.88586908
72,India,3,Punjab,30,Fatehgarh Sahib,2011,Urban,38069,137,105,780,8,217,127,24,34773,1860,38
73,India,3,Punjab,31,Ferozepur,2011,Rural,123616.5417,1887.918355,197.1228955,20347.81741,39.60667877,749.3401524,828.0982608,37.78568205,96806.46216,2392.789697,329.6004073
74,India,3,Punjab,31,Ferozepur,2011,Urban,52848.46508,233.7812468,110.7113834,2608.154219,19.05265668,438.7260403,385.172627,18.02278335,46126.48183,2863.047869,45.3144267
75,India,3,Punjab,32,Gurdaspur,2011,Rural,235812.2341,2222.69113,218.3883445,16264.22466,146.8604547,2171.708485,2095.614986,65.44040986,194416.6093,17465.74102,744.9553634
76,India,3,Punjab,32,Gurdaspur,2011,Urban,65998.41388,322.0655573,50.0507285,1815.970997,62.56341062,590.8162082,683.3012499,21.21715665,59090.86932,3272.33839,89.22086385
77,India,3,Punjab,33,Hoshiarpur,2011,Rural,258523,1746,245,12946,98,1803,2296,72,230770,8352,195
78,India,3,Punjab,33,Hoshiarpur,2011,Urban,71171,451,311,1734,23,559,595,25,64760,2623,90
79,India,3,Punjab,34,Jalandhar,2011,Rural,213375.0205,1119.921378,215.9848373,8234.421921,122.9913657,2153.848794,3043.786318,52.99627952,187548.8336,10662.25148,219.9845565
80,India,3,Punjab,34,Jalandhar,2011,Urban,240683,659,416,6577,159,2135,2684,170,209979,17617,287
81,India,3,Punjab,35,Kapurthala,2011,Rural,106870,817,223,3586,29,819,611,18,96049,4559,159
82,India,3,Punjab,35,Kapurthala,2011,Urban,58466,130,176,1287,47,263,416,48,52907,3112,80
83,India,3,Punjab,36,Ludhiana,2011,Rural,278323,1397,266,10962,152,2982,3551,41,243417,15243,312
84,India,3,Punjab,36,Ludhiana,2011,Urban,437781,2199,1876,9864,272,4654,5510,317,374338,37905,846
85,India,3,Punjab,37,Mansa,2011,Rural,115334,531,146,4839,56,759,869,19,105488,2429,198
86,India,3,Punjab,37,Mansa,2011,Urban,31793,138,113,770,16,320,449,8,28222,1714,43
87,India,3,Punjab,38,Moga,2011,Rural,145544.9795,900.0786215,194.0151627,7361.578079,69.00863433,1553.151206,1998.213682,32.00372048,128719.1664,4203.748519,514.0154435
88,India,3,Punjab,38,Moga,2011,Urban,45698,395,221,1390,17,352,255,8,40466,2526,68
89,India,3,Punjab,39,Sri Muktsar Sahib,2011,Rural,122957,1316,199,10289,59,1050,1126,127,106571,1780,440
90,India,3,Punjab,39,Sri Muktsar Sahib,2011,Urban,49835,375,149,1724,25,645,736,16,43676,2384,105
91,India,3,Punjab,40,Shahid Bhagat Singh Nagar,2011,Rural,102297,571,137,2428,52,864,979,20,93412,3692,142
92,India,3,Punjab,40,Shahid Bhagat Singh Nagar,2011,Urban,26337,96,179,767,6,460,185,8,23500,1114,22
93,India,3,Punjab,41,Patiala,2011,Rural,216533.2881,1276.817548,198.3960502,10441.41189,167.5034831,2175.889668,2888.179444,64.56695128,184955.4391,14022.115,342.9689998
94,India,3,Punjab,41,Patiala,2011,Urban,152020,581,621,3066,142,956,1334,87,134637,10400,196
95,India,3,Punjab,42,Rupnagar,2011,Rural,96022,755,169,4281,37,970,1363,33,84716,3578,120
96,India,3,Punjab,42,Rupnagar,2011,Urban,36832,457,153,865,9,126,218,46,33292,1592,74
97,India,3,Punjab,43,Sangrur,2011,Rural,166268.2588,472.478023,213.850347,5067.558403,102.6790475,1540.957735,2048.176789,40.91721441,150295.1047,6251.841553,234.6949657
98,India,3,Punjab,43,Sangrur,2011,Urban,66315.17999,255.4125497,192.9036889,1691.772073,47.72181851,421.4307071,471.8410787,24.1969784,59941.96473,3197.36184,70.57452033
99,India,3,Punjab,605,Barnala,2011,Rural,74819,158,89,2285,20,574,556,4,69469,1527,137
100,India,3,Punjab,605,Barnala,2011,Urban,37457,165,46,1090,13,366,251,11,34028,1447,40
